site,building_code,building_name,m2,levels,under auspice,nmi,beds,Outpatients,bed days
SAMPLE HEALTH SERVICES,B1,Turn Key House,982.8,2,YES,1234567890,800,560000,339085
SAMPLE HEALTH SERVICES,B2,Synergist,5101.488,5,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B3,Pursue,25160.436,17,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B4,Stride House,7259.112,,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B5,Mind House,610.848,1,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B6,Advantage House,4230.576,8,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B7,Hunt House,145.152,1,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B8,Match House,110.376,1,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B9,Post,7068.6,9,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B10,Proof,237.384,1,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B11,Segment,30.24,1,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B12,Masses House,8027.964,4,NO,1234567890,,,
SAMPLE HEALTH SERVICES,B13,Intelligence House,52.164,1,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B14,Sofa,1639.008,3,NO,1234567890,,,
SAMPLE HEALTH SERVICES,B15,Cycle House,2602.908,7,NO,1234567890,,,
SAMPLE HEALTH SERVICES,B16,Arrowhead House,2439.612,7,NO,1234567890,,,
SAMPLE HEALTH SERVICES,B17,Metrics,2899.26,6,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B18,Trend,7985.628,7,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B19,Climax House,54285.336,12,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B20,Virtuoso House,16504.992,8,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B21,South Ward,1170.288,3,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B22,North Ward,2721.6,4,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B23,Engineering Building,1512,2,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B24,Acuity,1587.6,2,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B25,Blue Ocean,29302.56,7,YES,1234567890,,,
SAMPLE HEALTH SERVICES,B26,Managed House,563.22,2,NO,1234567890,,,
SAMPLE HEALTH SERVICES,B27,Expand,491.4,1,NO,1234567890,,,
