"weather_station_id","reading_date","reading_time","air_temp","relative_humidity","pressure","wet_bulb_temp","half_hour_interval","historic","air_temp_quality","wet_bulb_temp_quality","dew_point_quality","relative_humidity_quality","mean_pressure_quality","dew_point"
"086338","2015-02-26","2015-02-26 00:00:00",18.2,88,1009.3,17,48,True,"N","N","N","N","N",16.2
"086338","2015-02-26","2015-02-26 00:30:00",18.7,88,1009.5,17.5,1,True,"N","N","N","N","N",16.7
"086338","2015-02-26","2015-02-26 01:00:00",19.4,84,1009.3,17.7,2,True,"N","N","N","N","N",16.6
"086338","2015-02-26","2015-02-26 01:30:00",19.3,83,1009,17.5,3,True,"N","N","N","N","N",16.3
"086338","2015-02-26","2015-02-26 02:00:00",18.9,84,1009,17.2,4,True,"N","N","N","N","N",16.1
"086338","2015-02-26","2015-02-26 02:30:00",18.4,85,1009,16.9,5,True,"N","N","N","N","N",15.8
"086338","2015-02-26","2015-02-26 03:00:00",18.3,86,1008.9,16.9,6,True,"N","N","N","N","N",15.9
"086338","2015-02-26","2015-02-26 03:30:00",18.2,85,1008.9,16.7,7,True,"N","N","N","N","N",15.6
"086338","2015-02-26","2015-02-26 04:00:00",17.7,86,1008.7,16.3,8,True,"N","N","N","N","N",15.3
"086338","2015-02-26","2015-02-26 04:30:00",17.8,85,1009,16.3,9,True,"N","N","N","N","N",15.2
"086338","2015-02-26","2015-02-26 05:00:00",17.7,84,1009,16.1,10,True,"N","N","N","N","N",15
"086338","2015-02-26","2015-02-26 05:30:00",17.6,88,1009.3,16.4,11,True,"N","N","N","N","N",15.6
"086338","2015-02-26","2015-02-26 06:00:00",17.9,82,1009.8,16.1,12,True,"N","N","N","N","N",14.8
"086338","2015-02-26","2015-02-26 06:30:00",17.8,81,1010.1,15.9,13,True,"N","N","N","N","N",14.5
"086338","2015-02-26","2015-02-26 07:00:00",18,80,1010.6,16,14,True,"N","N","N","N","N",14.5
"086338","2015-02-26","2015-02-26 07:30:00",18.1,80,1010.6,16.1,15,True,"N","N","N","N","N",14.6
"086338","2015-02-26","2015-02-26 08:00:00",18,82,1010.8,16.2,16,True,"N","N","N","N","N",14.9
"086338","2015-02-26","2015-02-26 08:30:00",18.7,81,1010.9,16.8,17,True,"N","N","N","N","N",15.4
"086338","2015-02-26","2015-02-26 09:00:00",19.1,79,1011.1,16.9,18,True,"N","N","N","N","N",15.4
"086338","2015-02-26","2015-02-26 09:30:00",19.8,76,1011.2,17.2,19,True,"N","N","N","N","N",15.4
"086338","2015-02-26","2015-02-26 10:00:00",20.2,73,1011.2,17.2,20,True,"N","N","N","N","N",15.2
"086338","2015-02-26","2015-02-26 10:30:00",21,70,1011.3,17.6,21,True,"N","N","N","N","N",15.3
"086338","2015-02-26","2015-02-26 11:00:00",21.2,70,1011.2,17.8,22,True,"N","N","N","N","N",15.5
"086338","2015-02-26","2015-02-26 11:30:00",21.2,74,1011.1,18.3,23,True,"N","N","N","N","N",16.4
"086338","2015-02-26","2015-02-26 12:00:00",21.8,71,1010.8,18.5,24,True,"N","N","N","N","N",16.3
"086338","2015-02-26","2015-02-26 12:30:00",21.8,68,1010.6,18.1,25,True,"N","N","N","N","N",15.6
"086338","2015-02-26","2015-02-26 13:00:00",21.7,66,1010.7,17.8,26,True,"N","N","N","N","N",15.1
"086338","2015-02-26","2015-02-26 13:30:00",22.9,63,1010.3,18.5,27,True,"N","N","N","N","N",15.5
"086338","2015-02-26","2015-02-26 14:00:00",22.2,58,1010.2,17.2,28,True,"N","N","N","N","N",13.5
"086338","2015-02-26","2015-02-26 14:30:00",22.5,59,1009.9,17.6,29,True,"N","N","N","N","N",14.1
"086338","2015-02-26","2015-02-26 15:00:00",22.1,62,1009.6,17.6,30,True,"N","N","N","N","N",14.5
"086338","2015-02-26","2015-02-26 15:30:00",21.8,64,1009.5,17.6,31,True,"N","N","N","N","N",14.7
"086338","2015-02-26","2015-02-26 16:00:00",22.1,63,1009.3,17.7,32,True,"N","N","N","N","N",14.7
"086338","2015-02-26","2015-02-26 16:30:00",21.5,64,1009.3,17.3,33,True,"N","N","N","N","N",14.4
"086338","2015-02-26","2015-02-26 17:00:00",21.5,69,1009.2,18,34,True,"N","N","N","N","N",15.6
"086338","2015-02-26","2015-02-26 17:30:00",21.2,68,1009.5,17.6,35,True,"N","N","N","N","N",15.1
"086338","2015-02-26","2015-02-26 18:00:00",20.8,70,1009.6,17.4,36,True,"N","N","N","N","N",15.1
"086338","2015-02-26","2015-02-26 18:30:00",20.1,69,1010,16.7,37,True,"N","N","N","N","N",14.2
"086338","2015-02-26","2015-02-26 19:00:00",19.9,67,1010.3,16.3,38,True,"N","N","N","N","N",13.6
"086338","2015-02-26","2015-02-26 19:30:00",19.5,71,1010.7,16.4,39,True,"N","N","N","N","N",14.1
"086338","2015-02-26","2015-02-26 20:00:00",19.6,70,1011.3,16.4,40,True,"N","N","N","N","N",14
"086338","2015-02-26","2015-02-26 20:30:00",19.5,72,1011.6,16.5,41,True,"N","N","N","N","N",14.3
"086338","2015-02-26","2015-02-26 21:00:00",19.4,74,1011.6,16.6,42,True,"N","N","N","N","N",14.6
"086338","2015-02-26","2015-02-26 21:30:00",19,69,1011.7,15.7,43,True,"N","N","N","N","N",13.2
"086338","2015-02-26","2015-02-26 22:00:00",18.5,72,1011.7,15.6,44,True,"N","N","N","N","N",13.4
"086338","2015-02-26","2015-02-26 22:30:00",18.4,74,1011.7,15.7,45,True,"N","N","N","N","N",13.7
"086338","2015-02-26","2015-02-26 23:00:00",18.6,73,1011.8,15.8,46,True,"N","N","N","N","N",13.7
"086338","2015-02-26","2015-02-26 23:30:00",18,75,1011.7,15.5,47,True,"N","N","N","N","N",13.5
"086338","2015-02-27","2015-02-27 00:00:00",17.5,78,1011.4,15.3,48,True,"N","N","N","N","N",13.6
"086338","2015-02-27","2015-02-27 00:30:00",17.1,82,1011.3,15.3,1,True,"N","N","N","N","N",14
"086338","2015-02-27","2015-02-27 01:00:00",16.7,84,1010.7,15.2,2,True,"N","N","N","N","N",14
"086338","2015-02-27","2015-02-27 01:30:00",16.3,88,1010.7,15.2,3,True,"N","N","N","N","N",14.3
"086338","2015-02-27","2015-02-27 02:00:00",15.9,90,1010.9,15,4,True,"N","N","N","N","N",14.3
"086338","2015-02-27","2015-02-27 02:30:00",15.7,93,1010.9,15.1,5,True,"N","N","N","N","N",14.6
"086338","2015-02-27","2015-02-27 03:00:00",15.5,95,1010.1,15,6,True,"N","N","N","N","N",14.7
"086338","2015-02-27","2015-02-27 03:30:00",15.3,96,1010,15,7,True,"N","N","N","N","N",14.7
"086338","2015-02-27","2015-02-27 04:00:00",15.1,97,1009.9,14.8,8,True,"N","N","N","N","N",14.6
"086338","2015-02-27","2015-02-27 04:30:00",14.9,98,1010,14.7,9,True,"N","N","N","N","N",14.6
"086338","2015-02-27","2015-02-27 05:00:00",15.2,95,1009.8,14.7,10,True,"N","N","N","N","N",14.4
